year,month,brand,model,count
2025,4,MERCEDES-BENZ,EQE 500 4MATIC,5
2025,4,CHAUSSON,640,5
2025,4,DACIA,BIGSTER,5
2025,4,MERCEDES-BENZ,S 680 4MATIC,5
2025,4,AUDI,Q8 60 TFSI E,4
2025,4,BMW,IX XDRIVE60,4
2025,4,PORSCHE,PANAMERA TURBO S E-HYBRID,4
2025,4,AUDI,S6 LIMOUSINE,4
2025,4,KNAUS,R12,4
2025,4,BMW,IX XDRIVE40,4
2025,4,AUDI,RS 6 AVANT,4
2025,4,CUPRA,CUPRA LEON,4
2025,4,HONDA,CIVIC,4
2025,4,WEINSBERG,R59,4
2025,4,WEINSBERG,R53,4
2025,4,MERCEDES-BENZ,S 450 E,4
2025,4,AUDI,A5 AVANT 220KW TFSI E,4
2025,4,BMW,IX M70 XDRIVE,4
2025,4,MERCEDES-BENZ,GLB 180,4
2025,4,VOLKSWAGEN,ID. BUZZ,4
2025,4,VOLKSWAGEN,ID. BUZZ GTX LR 250 KW,4
2025,4,BMW,Z4 SDRIVE20I,4
2025,4,PORSCHE,911 GT3,4
2025,4,PORSCHE,911 CARRERA,4
2025,4,CAPRON,T68/T447,4
2025,4,CAPRON,CVE 540,4
2025,4,KNAUS,R11,4
2025,4,ADRIA,SONIC 700DL,4
2025,4,HYUNDAI,IONIQ5 N,4
2025,4,KNAUS,R19,4
2025,4,MERCEDES-BENZ,AMG CLE 53 4MATIC,4
2025,4,MINI,JCW E,4
2025,4,HYMER,B-ML I 780,4
2025,4,BMW,I4 M50 XDRIVE,4
2025,4,MERCEDES-BENZ,GLE 400 E 4MATIC COUPE,4
2025,4,DS AUTOMOBILES,DS 3,4
2025,4,MERCEDES-AMG,AMG GT 63 S E PERFORMANCE,4
2025,4,LAMBORGHINI,URUS,4
2025,4,BMW,M340I XDRIVE,4
2025,4,AUDI,S6 SB E-TRON,4
2025,4,PORSCHE,911 GT3 RS,4
2025,4,TOURNE MOBIL,TOURNE,4
2025,4,DETHLEFFS,KW 600,4
2025,4,ADRIA,CORAL 670DL,4
2025,4,MINI,JCW COUNTRYMAN ALL4,4
2025,4,BURSTNER GMBH,BT6914,4
2025,4,BENTLEY,CONTINENTAL GTC SPEED,4
2025,4,CUPRA,TERRAMAR,4
2025,4,LEXUS,LEXUS RZ450E,4
2025,4,SUZUKI,IGNIS,4
2025,4,CITROEN,E-C4 X,4
2025,4,DETHLEFFS,JUST T6812 EB,3
2025,4,CAPRON,T58/T135,3
2025,4,PORSCHE,TAYCAN GTS,3
2025,4,CAPRON,T69LC/ T459,3
2025,4,BMW,Z4 SDRIVE30I,3
2025,4,NISSAN,TOWNSTAR,3
2025,4,MERCEDES-BENZ,EQS 450 4MATIC,3
2025,4,MERCEDES-BENZ,GLE 350 DE 4MATIC,3
2025,4,ERIBA,CAR,3
2025,4,CUPRA,CUPRA LEON SP,3
2025,4,ADRIA,CORAL MB 670DL,3
2025,4,FERRARI,296 GTS,3
2025,4,PEUGEOT,508,3
